City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,westport,41.1415,-73.3579,8.9,76,0,2.06,US,1698036307
282,ta`u,-14.2336,-169.5144,27.12,80,78,3.98,AS,1698036420
283,namdrik,5.5994,168.1028,28.93,71,92,1.98,MH,1698036421
284,sao tome,0.3365,6.7273,25.21,92,100,4.82,ST,1698036421
285,trairi,-3.2778,-39.2689,25.3,81,76,4.95,BR,1698036353
286,gangoh,29.7667,77.25,26.85,35,9,2.44,IN,1698036422
287,san julian,21.0167,-102.1667,14.65,63,92,2.82,MX,1698036423
288,bonny,4.4522,7.1681,24.47,91,100,2.45,NG,1698036423
289,udachny,66.4167,112.4,-3.64,92,100,1.35,RU,1698036424
290,urumqi,43.801,87.6005,16.53,29,0,2.0,CN,1698036323
291,charters towers,-20.1,146.2667,36.43,16,6,2.14,AU,1698036425
292,chinoz,40.9364,68.7697,17.76,57,100,3.36,UZ,1698036203
293,verkhnevilyuysk,63.4453,120.3167,0.3,92,100,2.51,RU,1698036426
294,nizhnesortymskiy,62.4397,71.7603,-2.47,83,35,7.13,RU,1698036427
295,sussex,41.1834,-74.6663,7.58,75,100,2.68,US,1698035762
296,auki,-8.7676,160.7034,27.43,82,67,1.79,SB,1698036428
297,yinzhu,35.8786,119.9753,20.35,36,38,5.11,CN,1698036428
298,kyaikto,17.3,97.0167,29.71,69,42,2.33,MM,1698036429
299,acapetahua,15.2833,-92.7,24.05,92,95,1.67,MX,1698036429
300,villa regina,-39.1,-67.0667,17.67,57,99,3.13,AR,1698036430
301,les avirons,-21.2418,55.3394,26.32,57,0,3.09,RE,1698036430
302,college,64.8569,-147.8028,-3.29,89,100,1.54,US,1698036431
303,tateyama,34.9833,139.8667,19.08,51,76,1.73,JP,1698036431
304,gadzhiyevo,69.2551,33.3362,1.01,77,100,8.87,RU,1698036432
305,ceeldheer,3.8488,47.1806,28.14,74,36,4.41,SO,1698036433
